Well #,Season,Name of Village,State as of 2016,lat,long
444,2020,Rum-panagok,Gogrial ,8.753115,28.553037
445,2020,Atunga,Gogrial ,8.76590122,28.57867312
446,2020,Mayen Atunga,Gogrial ,8.770592,28.587666
447,2020,Alol,Gogrial ,8.797524,28.618598
448,2020,Thurdong ,Gogrial ,8.78329879,28.61443451
449,2020,Adel ,Gogrial,8.80055701,28.63297898
450,2020,Gong Nyuon ,Gogrial ,8.796721,28.488366
451,2020,Marial Thou,Gogrial,8.656609,28.399453
452,2020,Panthou,Gogrial ,8.66273,28.404369
453,2020,Abou Primary Health Care Unit,Wau,7.995652,27.800206
454,2020,Atido Primary Health Care Unit ,Wau,7.851996,27.899044
455,2020,Achuong-chuong Primary Health Care Center ,Wau,7.92108,27.161494
456,2020,Nyikejo Primary Health Care Unit,Wau,7.628385,27.105634
457,2020,Khor Ghana Jadeep Primary School,Wau,7.707176,27.964336
458,2021,Rumameth,Gogrial West,8.838225,28.177204
459,2021,Pajok Beck,Gogrial West,8.569005,28.225996
460,2021,Aciec-kou,Gogrial West,8.560127,28.261268
461,2021,Majook Akotkuac,Gogrial West,8.86211,28.406333
462,2021,Ajogo,Gogrial East,8.711351,28.423657
463,2021,Mangol,Gogrial East,8.824507,28.541891
464,2021,Majook Ngok,Gogrial West,8.719759,28.142284
465,2021,Warngap,Gogrial West,8.562857,28.124096
466,2021,Pinydit,Gogrial East,8.41595,28.344742
467,2021,Chur Primary School,Gogrial East,8.413829,28.372617
468,2021,Mawithou,Gogrial East,8.386127,28314796
469,2021,Maker Akech,Gogrial East,8.333254,28.293498
470,2021,Luonyaker Church,Gogrial East,8.228545,28.391395
471,2021,Lilmajak,Gogrial East,8.377839,28.356783
472,2021,Tarweng,Gogrial East,8.351007,28.354034
473,2021,Pathoui,Gogrial East,8.270824,28.360273
474,2021,Toluel,Gogrial East,8.284275,28.385893
475,2021,Nyorthook,Gogrial East,8.323743,28.39453
476,2021,Ahuoch bar,Gogrial East,8.213264,28.395608
477,2021,Ajak-Angon,Gogrial East,8.167968,28.332009
478,2021,Patiek-Dier,Gogrial East,8.190157,28.443294
479,2021,Nyiop-chop Primary,Gogrial East,8.224778,28.428749
480,2021,Mabil,Gograil East,8.221405,28.309422
481,2021,Halcok,Gogrial East,8.126829,28.289277
482,2021,Athiang,Gogrial East,8.211501,28.458143
483,2021,Mabior Abiem,Jur River,8.003663,28.033162
484,2021,Marial Baai,Jur River,7.295341,28.160932
485,2021,Kuarjiena,Jur River,7.498188,28.268203
486,2021,Warayat,Jur River,7.574801,28.022861
487,2021,Ayen,Gogrial East,8.346537,28.294093
488,2021,Lietdit-Nhom,Gogrial East,8.332919,28.254868
489,2021,Awut-wut,Gogrial East,8.340844,28.308234
490,2021,Wut-Dong,Gogrial East,8.424728,28.469889
491,2021,Geng-agok,Gogrial East,8.40132,28.377623
492,2021,Adol thiong,Gogrial East,8.414403,28.395764
493,2021,Keric Machar Awuong,Gogrial East,8.336227,28.402745
494,2021,Jaac Kuac,Gogrial East,8.41209,28.403135
495,2021,Mac-Ather,Gogrial East,8.383828,28.434901
496,2021,Mawut-Ador,Gogrial East,8.210223,28.49355
497,2021,Rieng-piny,Gogrial East,8.24396,28.345468
498,2021,Aker-Abuok,Gogrial East,8.30582,28.406599
499,2021,Kuel,Gogrial East,8.41922,28.426366
500,2021,Nyok-Nyok,Gogrial East,8.399616,28.439931
501,2021,Alel-chok Primary School,Jur River,7.782255,27.981046
502,2021,Alel-chok PHCU,Jur River,7.777847,27.978129
503,2021,Gettee,Jur River,7.94632,27.847061
504,2021,"RRC, Wau South Sudan",Wau,7.693959,27.001265
505,2021,Bazia Jedid PHCC,Wau,7.678802,27.994309
506,2021,Pian-tok,Western Bahr-El-Ghazal,7.7048366,28.0388955
507,2022,Ukel Abanga Primary School -- KorKorongo,Western Bahr-El-Ghazal,7.6848379,28.005877
508,2022,Eastern bank - Salva's Farm,Western Bahr-El-Ghazal,7.717945,28.040872
509,2022,Wunyiik,Warrap,7.7678804,29.066502
510,2022,Makur,Warrap,7.79334,29.038943
511,2022,Palam,Warrap,7.786497,29.065389
512,2022,Marial Aguet,Warrap,7.738077,29.025425
513,2022,Pakang,Warrap,7.737376,29.126798
514,2022,Akol-Ngong ,Warrap,7.804939,29.083346
515,2022,Mabior Makot,Warrap,7.812046,29.109074
516,2022,Rieny,Warrap,8.542319,28.091526
517,2022,Kuel - Abil,Warrap,7.8742206,29.0808412
518,2022,Rak-Chiek,Warrap,7.891297,29.114612
519,2022,Cum-Luol,Warrap,7.828862,29.091834
520,2022,Danga,Warrap,7.883845,29.104376
521,2022,War-Apor,Warrap,7.850689,29.091872
522,2022,Gokdit,Warrap,7.801082,28.995569
523,2022,Rak-Chok,Warrap,7.741722,28.850067
524,2022,Aloor,Warrap,7.983249,29.310138
525,2022,Anyiach,Warrap,7.65234,28.730842
526,2022,Wun-Kuel Primary School,Warrap,7.803575,28.917345
527,2022,Lol-lith,Warrap,7.965471,29.216538
528,2022,Majok-Cileng,Warrap,7.755361,28.970739
529,2022,Aleek,Warrap,7.729456,28.813597
530,2022,Palal,Warrap,7.715034,28.943102
531,2022,Kony-bai,Warrap,7.736124,28.97302
532,2022,Aliet PHCU,Warrap,7.877131,29.437067
533,2022,Ngem-Aker,Warrap,7.8495,29.435504
534,2022,Pagot,Warrap,7.906851,29.4839798
535,2022,Nyingor,Warrap,8.107486,29.355963
536,2022,Wun-Cum,Warrap,8.146744,29.329007
537,2022,Kol-Nyang,Warrap,8.138022,29.397375
538,2022,Wunlit Market ,Warrap,7.835492,29.21873
539,2022,Ageng,Warrap,7.617821,28.800362
540,2022,Machar-Arol,Warrap,7.61171,28.793657
541,2022,Wunkuel ,Warrap,7.803732,28.951379
542,2022,Apuukdit ,Warrap,8.090337,29.335422
543,2022,Adial,Warrap,7.892494,29.433974
